Epoch 0100: Test Loss 0.7103, Test Accuracy 0.7150
Epoch 0200: Test Loss 0.7386, Test Accuracy 0.7170
Epoch 0300: Test Loss 0.7514, Test Accuracy 0.7190
Epoch 0400: Test Loss 0.7671, Test Accuracy 0.7230
Epoch 0500: Test Loss 0.7695, Test Accuracy 0.7130
Epoch 0600: Test Loss 0.7819, Test Accuracy 0.7160
Epoch 0700: Test Loss 0.7770, Test Accuracy 0.7180
Epoch 0800: Test Loss 0.8087, Test Accuracy 0.6960
Epoch 0900: Test Loss 0.7899, Test Accuracy 0.7060
Epoch 1000: Test Loss 0.7731, Test Accuracy 0.7310
Epoch 1100: Test Loss 0.8043, Test Accuracy 0.6990
Epoch 1200: Test Loss 0.7687, Test Accuracy 0.7320
Epoch 1300: Test Loss 0.8118, Test Accuracy 0.6890
Epoch 1400: Test Loss 0.7736, Test Accuracy 0.7330
Epoch 1500: Test Loss 0.7970, Test Accuracy 0.7070
Epoch 1600: Test Loss 0.8053, Test Accuracy 0.7010
Epoch 1700: Test Loss 0.7937, Test Accuracy 0.7100
Epoch 1800: Test Loss 0.7697, Test Accuracy 0.7270
Epoch 1900: Test Loss 0.7871, Test Accuracy 0.7110
Epoch 2000: Test Loss 0.7934, Test Accuracy 0.7200
*******************************
Trial 00: test accuracy 0.7390
*******************************
Epoch 0100: Test Loss 0.7020, Test Accuracy 0.7020
Epoch 0200: Test Loss 0.7882, Test Accuracy 0.6800
Epoch 0300: Test Loss 0.7773, Test Accuracy 0.6980
Epoch 0400: Test Loss 0.8016, Test Accuracy 0.6890
Epoch 0500: Test Loss 0.8162, Test Accuracy 0.6780
Epoch 0600: Test Loss 0.8593, Test Accuracy 0.6670
Epoch 0700: Test Loss 0.8106, Test Accuracy 0.6810
Epoch 0800: Test Loss 0.8429, Test Accuracy 0.6760
Epoch 0900: Test Loss 0.7895, Test Accuracy 0.7100
Epoch 1000: Test Loss 0.7845, Test Accuracy 0.7020
Epoch 1100: Test Loss 0.8374, Test Accuracy 0.6730
Epoch 1200: Test Loss 0.8033, Test Accuracy 0.6930
Epoch 1300: Test Loss 0.8221, Test Accuracy 0.6800
Epoch 1400: Test Loss 0.7926, Test Accuracy 0.7110
Epoch 1500: Test Loss 0.7947, Test Accuracy 0.7210
Epoch 1600: Test Loss 0.8563, Test Accuracy 0.6770
Epoch 1700: Test Loss 0.8136, Test Accuracy 0.6860
Epoch 1800: Test Loss 0.7981, Test Accuracy 0.7040
Epoch 1900: Test Loss 0.8299, Test Accuracy 0.6800
Epoch 2000: Test Loss 0.8059, Test Accuracy 0.7030
*******************************
Trial 01: test accuracy 0.7330
*******************************
Epoch 0100: Test Loss 0.6826, Test Accuracy 0.7230
